1024 215279
0 25 650
0 53 87
0 619 927
0 268 812
0 185 894
0 177 668
0 359 984
0 291 644
0 732 789
0 104 366
0 53 535
0 508 812
0 90 1007
0 167 762
0 275 413
0 121 742
0 388 402
0 270 669
0 350 974
0 16 507
0 297 972
0 823 915
0 805 956
0 273 737
0 268 962
0 69 170
0 517 743
0 33 577
0 406 529
0 523 743
0 914 962
0 764 827
0 81 943
0 55 159
0 5 788
0 290 736
0 345 428
0 928 1022
0 527 662
0 58 832
0 479 830
0 519 780
0 118 779
0 404 685
0 86 465
0 530 603
0 35 926
0 49 504
0 69 583
0 126 486
0 307 874
0 203 754
0 933 996
0 599 829
0 75 869
0 185 964
0 355 839
0 279 402
0 373 894
0 138 947
0 292 990
0 50 583
0 253 394
0 817 872
0 109 382
0 646 837
0 124 225
0 543 634
0 456 1010
0 167 462
0 682 980
0 243 722
0 18 521
0 71 576
0 11 965
0 535 566
0 173 851
0 508 710
0 158 1016
0 647 862
0 806 1021
0 395 915
0 421 867
0 179 306
0 538 745
0 118 667
0 575 642
0 170 371
0 507 884
0 925 950
0 764 820
0 426 701
0 145 752
0 625 977
0 107 349
0 99 881
0 77 946
0 353 483
0 834 974
0 150 354
0 720 764
0 77 562
0 440 697
0 468 544
0 82 951
0 17 496
0 328 632
0 267 316
0 3 258
0 353 413
0 21 703
0 203 579
0 269 938
0 1 775
0 503 888
0 447 806
0 5 446
0 166 649
0 912 931
0 111 798
0 37 86
0 774 801
0 166 406
0 260 668
0 504 575
0 699 1015
0 189 275
0 457 762
0 240 437
0 94 798
0 528 741
0 580 938
0 1005 1018
0 519 632
0 341 511
0 90 779
0 782 794
0 201 992
0 31 825
0 53 225
0 418 853
0 246 388
0 327 564
0 493 914
0 719 901
0 222 320
0 697 733
0 302 348
0 165 572
0 38 223
0 134 898
0 192 696
0 492 854
0 263 1011
0 77 714
0 512 868
0 637 764
0 149 778
0 686 1013
0 93 677
0 920 983
0 706 772
0 372 784
0 273 521
0 572 746
0 370 854
0 79 248
0 556 802
0 401 557
0 336 473
0 226 980
0 843 883
0 629 706
0 438 1019
0 18 770
0 689 904
0 180 468
0 613 946
0 23 56
0 322 906
0 490 603
0 627 770
0 139 179
0 459 651
0 684 688
0 930 958
0 283 859
0 424 431
0 600 979
0 458 995
0 174 288
0 244 539
0 349 1012
0 201 226
0 509 996
0 321 557
0 330 973
0 134 830
0 350 991
0 678 1020
0 219 632
0 648 813
0 690 703
0 339 583
0 57 199
0 594 953
0 531 1013
0 374 762
0 176 725
0 346 471
0 559 686
0 172 471
0 424 834
0 294 353
0 183 771
0 408 688
0 313 498
0 968 987
0 320 631
0 209 761
0 327 746
0 293 355
0 120 938
0 641 888
0 454 659
0 162 240
0 182 205
0 213 362
0 76 425
0 93 880
0 363 1009
0 441 1007
0 268 1000
0 763 992
0 908 954
0 260 764
0 84 786
0 12 782
0 27 960
0 68 223
0 628 953
0 114 486
0 30 456
0 188 739
0 434 456
0 171 865
0 890 902
0 92 404
0 142 841
0 403 568
0 403 453
0 328 354
0 117 730
0 675 972
0 43 869
0 46 642
0 754 1021
0 74 502
0 50 974
0 265 584
0 221 578
0 17 885
0 165 864
0 433 543
0 311 900
0 315 470
0 874 1008
0 257 557
0 118 133
0 419 426
0 150 295
0 128 911
1 293 355
0 33 549
0 479 518
0 454 955
0 278 879
0 514 715
0 682 703
0 738 1009
0 279 922
0 899 918
0 573 741
0 251 684
1 706 772
0 286 621
