1024 215279
0 617 715
0 18 704
0 509 895
0 379 671
0 154 388
0 209 791
0 849 919
0 705 772
0 159 712
0 256 640
0 619 633
0 372 1018
0 272 678
0 737 784
0 481 598
0 231 1022
0 93 995
0 204 608
0 386 966
0 243 644
0 108 790
0 129 998
0 453 614
0 274 778
0 597 845
0 939 1014
0 44 271
0 277 333
0 710 801
0 394 510
0 839 924
0 752 928
0 115 240
0 505 907
0 729 927
0 195 654
0 47 749
0 391 596
0 910 999
0 210 295
0 273 824
0 164 561
0 732 854
0 357 1011
0 666 774
0 308 642
0 526 888
0 514 612
0 661 778
0 378 1008
0 34 309
0 465 625
0 580 888
0 534 692
0 884 948
0 767 1011
0 369 457
0 361 412
0 470 788
0 495 885
0 80 143
0 491 621
0 519 650
0 173 342
0 29 441
0 600 708
0 241 410
0 271 583
0 343 767
0 183 455
0 548 991
0 547 716
0 6 537
0 165 426
0 295 792
0 817 991
0 35 997
0 138 168
0 161 248
0 247 766
0 494 950
0 209 686
0 159 682
0 221 406
0 584 780
0 19 911
0 295 804
0 233 707
0 181 1002
0 174 190
0 597 800
0 144 511
0 41 451
0 13 167
0 713 738
0 99 610
0 470 588
0 333 675
0 167 598
0 245 341
0 229 374
0 47 262
0 593 746
0 221 400
0 309 994
0 52 751
0 304 655
0 619 862
0 297 311
0 301 841
0 222 533
0 344 755
0 679 799
0 405 583
0 39 260
0 797 814
0 457 617
0 374 1012
0 341 354
0 317 736
0 339 563
0 228 694
0 77 659
0 208 948
0 312 357
0 131 945
0 470 897
0 194 210
0 833 1007
0 519 691
0 527 698
0 517 771
0 145 926
0 521 734
0 254 303
0 384 620
0 670 994
0 755 860
0 68 768
0 11 186
0 792 843
0 5 48
0 159 220
0 819 1009
0 323 710
0 787 841
0 363 663
0 466 486
0 43 900
0 314 400
0 61 414
0 90 326
0 9 426
0 605 705
0 362 611
0 72 554
0 782 857
0 508 607
0 63 692
0 352 731
0 434 582
0 94 322
0 262 733
0 507 837
0 10 590
0 251 663
0 51 895
0 128 144
0 378 445
0 353 587
0 120 378
0 592 845
0 18 409
0 222 257
0 812 1017
0 355 710
0 136 1015
0 436 501
0 185 425
0 864 876
0 201 658
0 38 510
0 380 863
0 432 1005
0 250 937
0 79 472
0 2 214
0 163 980
0 463 661
0 314 629
0 519 572
0 531 696
0 330 867
0 80 310
0 245 983
0 104 240
0 211 815
0 337 581
0 692 879
0 323 641
0 361 545
0 97 475
0 91 184
0 530 828
0 54 581
0 534 539
0 230 445
0 319 850
0 757 834
0 451 604
0 39 723
0 294 551
0 393 843
0 348 528
0 236 582
0 247 375
0 457 798
0 291 559
0 54 787
0 296 649
0 325 857
0 197 716
0 630 813
0 240 871
0 966 1012
0 446 994
0 143 451
0 740 1016
0 48 729
0 48 911
0 443 765
0 21 34
0 72 751
0 373 544
0 167 769
0 73 983
0 246 812
0 297 738
0 376 722
0 396 687
0 442 500
0 228 679
0 128 386
0 527 875
0 663 760
0 218 993
0 336 777
0 112 532
0 78 762
0 131 238
0 63 478
0 736 880
0 33 543
0 258 849
0 247 458
0 286 529
0 452 782
0 887 969
0 203 240
0 216 803
0 448 747
0 396 470
0 182 867
0 40 887
0 338 825
0 611 717
0 99 224
0 105 949
0 377 925
0 194 562
0 240 864
0 361 821
0 722 805
0 106 346
0 96 648
0 192 756
0 205 428
0 551 673
0 470 702
0 57 561
0 642 880
0 307 536
0 523 602
0 126 251
0 162 851
0 329 836
0 393 411
0 535 630
0 211 377
0 881 963
0 743 844
0 608 690
0 185 920
0 74 440
0 164 776
0 199 753
0 280 569
0 234 657
0 609 730
0 102 566
0 110 177
0 123 909
0 281 619
0 142 750
0 585 675
0 376 848
0 125 589
0 80 207
0 53 426
0 294 640
0 230 378
0 990 1006
0 483 685
0 240 936
0 850 948
0 42 74
0 313 577
1 481 598
0 52 942
0 157 739
0 1001 1013
0 30 999
0 17 918
0 3 390
0 668 970
0 238 751
0 869 1011
0 88 193
0 80 754
0 485 821
1 245 341
0 156 733
0 534 991
0 132 732
0 371 815
0 600 1000
0 395 424
0 467 640
0 789 811
0 214 700
0 184 401
0 387 518
0 250 683
0 115 520
0 701 766
0 519 780
0 189 700
0 23 459
0 588 891
0 589 897
0 59 720
0 18 474
0 247 961
0 420 850
0 54 768
0 21 977
0 135 175
0 395 444
0 42 524
0 707 822
0 292 710
0 518 638
0 601 669
0 334 756
0 447 781
0 669 925
0 232 486
0 496 812
0 190 680
1 336 777
0 95 920
0 399 945
0 68 82
0 563 1019
0 386 426
0 85 547
0 92 856
0 173 671
0 132 477
0 701 925
0 123 810
0 115 243
0 492 676
0 180 765
0 59 486
0 109 959
0 158 708
0 410 635
0 73 265
0 266 668
0 69 383
0 635 790
0 545 940
0 296 498
0 432 570
0 189 542
0 76 954
0 242 584
0 174 360
0 322 370
0 694 752
0 439 650
0 833 953
1 304 655
0 102 420
0 146 603
0 556 1011
0 471 958
0 193 485
0 460 783
0 696 945
0 284 446
1 518 638
0 209 1000
0 445 1014
0 150 509
0 150 636
0 861 973
0 260 766
0 82 996
0 201 449
0 101 266
0 447 604
0 630 936
0 36 243
0 330 340
0 934 1019
0 415 785
0 689 769
0 648 711
0 15 997
0 359 1019
0 309 393
0 256 919
0 116 405
0 586 922
0 251 790
0 287 674
0 149 884
0 19 38
0 6 285
0 235 319
0 557 747
0 370 828
0 351 559
0 657 1004
0 46 897
0 273 374
0 343 728
0 207 659
0 657 839
0 566 667
0 34 280
0 494 678
0 660 991
0 904 964
0 34 414
0 569 864
0 227 828
0 557 1002
0 135 483
0 110 123
0 353 597
0 266 908
0 194 553
0 544 995
0 543 1008
0 37 921
1 648 711
0 211 520
0 227 328
0 703 996
0 515 650
0 338 457
0 356 1006
0 59 502
0 148 434
0 806 868
0 157 331
0 511 690
0 804 990
0 297 602
0 158 819
0 226 778
0 217 509
0 710 738
0 49 67
0 549 922
0 104 890
0 324 359
0 12 969
0 500 614
0 781 902
0 346 926
0 776 884
0 609 854
0 335 836
0 231 745
0 358 1011
0 502 944
0 273 579
0 15 848
0 361 690
0 545 1020
0 534 946
0 457 938
0 765 1015
1 240 864
0 221 962
0 136 617
0 371 641
0 28 863
0 149 206
0 413 762
0 278 676
0 414 852
0 155 639
0 176 922
0 55 649
0 779 953
0 264 506
0 274 879
0 157 283
0 341 885
0 876 981
0 536 815
0 14 379
0 458 505
0 596 719
0 772 846
0 706 746
0 255 724
0 53 261
0 189 551
0 827 967
0 157 240
0 728 883
0 252 833
0 28 225
0 149 339
0 417 887
0 7 203
0 89 417
0 524 844
0 44 336
0 512 873
0 164 437
0 460 594
0 124 309
0 383 478
0 30 708
0 81 478
0 733 1022
0 153 840
0 415 445
0 665 989
0 433 745
0 627 1007
0 344 590
0 36 407
0 304 499
0 317 673
0 469 665
0 455 488
0 31 773
0 770 852
0 257 457
0 572 640
0 3 123
0 307 461
0 802 904
0 584 815
0 520 570
0 295 951
0 139 799
0 138 337
0 315 519
0 190 247
0 88 545
0 246 851
0 601 976
0 366 576
0 364 932
0 977 1002
0 359 644
0 662 728
0 243 776
0 369 553
0 50 306
0 327 636
0 383 836
0 706 823
0 481 869
0 514 710
0 52 776
0 119 557
0 332 868
0 190 953
0 927 998
0 104 977
0 723 1012
0 37 742
0 529 842
0 262 690
0 634 891
0 636 844
0 804 979
0 305 836
1 115 240
0 264 886
0 708 1020
0 280 889
0 203 519
0 654 687
0 221 239
0 616 811
0 547 635
0 357 514
0 319 629
0 60 414
0 396 575
0 395 487
0 430 912
0 28 844
0 189 237
0 642 762
0 884 924
0 577 719
0 725 792
0 705 735
0 537 765
0 241 918
0 321 689
0 361 701
0 683 809
0 35 423
0 110 875
0 271 814
0 477 720
0 839 1003
0 422 478
0 569 786
0 51 653
0 37 400
0 608 832
0 864 973
0 114 823
0 13 23
0 270 993
0 48 336
0 130 419
0 254 308
1 772 846
0 628 889
0 217 259
0 363 369
0 189 312
0 370 990
0 270 714
0 538 773
0 935 1020
0 168 650
0 796 877
0 207 308
0 515 727
0 754 996
0 91 731
0 632 815
0 217 711
0 158 855
0 120 686
0 112 695
0 421 854
0 390 578
0 278 570
0 18 687
0 338 358
0 724 782
0 137 244
0 273 512
0 205 211
0 142 588
0 735 836
0 68 264
0 468 914
0 131 759
0 513 897
0 84 541
0 568 752
0 229 855
0 616 967
0 320 455
0 392 709
0 462 530
0 116 569
0 703 750
0 340 935
0 781 915
0 478 566
0 965 1005
0 314 690
0 494 1003
0 733 1012
0 416 682
0 347 783
0 174 818
0 414 750
0 230 925
0 119 452
0 26 970
0 229 355
0 263 602
0 168 884
0 0 358
0 429 816
0 369 537
0 444 1004
0 15 199
0 706 738
1 229 355
0 219 326
0 158 625
0 200 599
0 166 439
0 357 497
0 300 851
0 928 984
0 114 865
0 324 1013
0 99 913
0 481 780
0 289 1013
0 264 947
0 647 1005
0 511 901
0 277 697
0 402 1023
0 623 800
0 426 913
0 145 500
0 77 179
0 443 985
0 319 588
0 440 946
0 377 711
0 150 510
0 304 947
0 896 910
0 229 593
0 356 473
0 384 1012
0 625 769
0 3 829
0 940 974
0 401 440
0 247 900
0 695 983
0 0 283
0 528 882
0 98 665
0 297 528
0 17 611
0 441 649
0 231 472
0 451 595
0 132 317
0 204 720
0 622 657
0 313 737
0 181 995
0 41 566
0 467 997
0 612 765
0 322 961
0 136 778
0 103 372
0 657 720
0 425 851
0 22 451
0 356 592
0 281 726
0 170 494
0 929 944
0 747 902
0 429 1012
0 47 513
0 292 462
0 73 835
0 289 398
0 280 701
0 126 373
0 126 570
0 265 800
0 881 949
0 507 941
0 735 742
0 208 916
0 297 955
0 26 144
0 205 699
0 179 784
0 268 770
0 797 897
0 51 124
0 300 619
0 406 854
0 787 914
0 403 462
0 612 916
0 326 648
0 654 960
0 100 781
0 867 893
0 961 998
0 909 984
0 115 375
0 25 736
0 36 215
0 76 837
0 16 328
0 492 589
0 421 662
0 323 934
0 369 498
0 265 468
0 508 1019
0 786 984
0 523 741
0 308 814
0 326 375
0 232 876
1 421 662
0 311 559
0 215 246
0 66 513
0 332 620
0 480 596
0 44 234
1 928 984
0 228 914
0 165 487
